"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C6","Sesja Eksploracyjna TESTRAIL","Kamil Piątek","1/12/2024 5:40 PM","","","High","","Sesja ekploracyjna","0","","Master","S2","Other","Łukasz","1/17/2024 7:11 PM"
"C8","New Coustomer- Błędna Validacja","Kamil Piątek","1/12/2024 6:29 PM","","","High","","Test Cases","1","Przypadki testowe dla zadania 12.01.2024","Master","S2","Functional","Kamil Piątek","1/17/2024 7:38 PM"
"C10","Deleting user by menager","Łukasz","1/12/2024 6:33 PM","","","High","Test1","Test Cases","1","Przypadki testowe dla zadania 12.01.2024","Master","S2","Other","Kamil Piątek","1/17/2024 7:39 PM"
"C9","Balance Enquiry for menager","Łukasz","1/12/2024 6:31 PM","","","High","","Test Cases","1","Przypadki testowe dla zadania 12.01.2024","Master","S2","Other","Kamil Piątek","1/17/2024 7:39 PM"
"C11","Change Password by menager","Kamil Piątek","1/12/2024 6:41 PM","","","High","","Test Cases","1","Przypadki testowe dla zadania 12.01.2024","Master","S2","Functional","Kamil Piątek","1/13/2024 1:09 PM"
"C12","Log out page","Kamil Piątek","1/12/2024 6:45 PM","","","Medium","","Test Cases","1","Przypadki testowe dla zadania 12.01.2024","Master","S2","Functional","Kamil Piątek","1/12/2024 6:47 PM"
"C13","Deposit money to bank account by menager","Łukasz","1/12/2024 6:45 PM","","","High","","Test Cases","1","Przypadki testowe dla zadania 12.01.2024","Master","S2","Functional","Kamil Piątek","1/17/2024 7:41 PM"
"C14","non-funkcional test for displaying stuff in menager panel","Łukasz","1/12/2024 6:49 PM","","","Low","","Test Cases","1","Przypadki testowe dla zadania 12.01.2024","Master","S2","Other","Kamil Piątek","1/13/2024 12:38 PM"
"C15","Deleting user by menager- jira","Kamil Piątek","1/13/2024 12:09 PM","","","High","SCRUM-2","JIRA BUGS","2","Bugi z Jira","Master","S2","Functional","Kamil Piątek","1/13/2024 12:11 PM"
"C16","Deposit money to bank account by menager- Jira","Kamil Piątek","1/13/2024 12:22 PM","","","High","SCRUM-4","JIRA BUGS","2","Bugi z Jira","Master","S2","Other","Kamil Piątek","1/13/2024 12:22 PM"
"C17","Balance Enquiry for menager-jira","Kamil Piątek","1/13/2024 12:32 PM","","","High","SCRUM-3","JIRA BUGS","2","Bugi z Jira","Master","S2","Other","Kamil Piątek","1/13/2024 12:32 PM"
"C18","non-funkcional test for displaying stuff in menager panel- jira","Kamil Piątek","1/13/2024 12:39 PM","","","Medium","SCRUM-5","JIRA BUGS","2","Bugi z Jira","Master","S2","Other","Kamil Piątek","1/13/2024 12:39 PM"
